selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
236,66959,04032024_6f_a2_r5,6,959,0.082240710391052171
239,281934,04192024_6f_a1_r9,5,1934,0.062899757117935329
240,164259,04192024_6f_a1_r2,1,259,0.057410381925175592
241,174011,04192024_6f_a1_r2,6,11,0.087325910809612911
242,168035,04192024_6f_a1_r2,3,35,0.08622075151712745
243,54848,04032024_6f_a2_r5,0,848,0.10774288727205099
244,288892,04192024_6f_a1_r9,9,892,0.077862866792551735
245,231906,04192024_6f_a1_r6,7,1906,0.08921262719239878
247,279608,04192024_6f_a1_r9,4,1608,0.059791432594371773
249,172829,04192024_6f_a1_r2,5,829,0.082571605322398489
250,179093,04192024_6f_a1_r2,8,1093,0.090058850014318972
251,278311,04192024_6f_a1_r9,4,311,0.066781639443924082
252,72270,04032024_6f_a2_r5,9,270,0.083427934526431186
253,278239,04192024_6f_a1_r9,4,239,0.068691314587014746
254,92120,04032024_6f_a2_r5,19,120,0.086111411592406789
255,58670,04032024_6f_a2_r5,2,670,0.10125746309233054
256,274600,04192024_6f_a1_r9,2,600,0.056340717964457748
257,116903,04162024_6f_a1_r1,4,903,0.067608025894272894
259,232518,04192024_6f_a1_r6,8,518,0.087893319654591809
260,122138,04162024_6f_a1_r1,7,138,0.054570577412639244
261,66498,04032024_6f_a2_r5,6,498,0.088322310179883193
262,67734,04032024_6f_a2_r5,6,1734,0.09479616791504375
263,86298,04032024_6f_a2_r5,16,298,0.065188057907790087
264,87064,04032024_6f_a2_r5,16,1064,0.075797929372028616
266,122348,04162024_6f_a1_r1,7,348,0.072244534468833582
267,282786,04192024_6f_a1_r9,6,786,0.047974436372886946
268,237571,04192024_6f_a1_r6,10,1571,0.10448233589420027
269,120038,04162024_6f_a1_r1,6,38,0.040783564195672153
270,244850,04192024_6f_a1_r6,14,850,0.098934970358484128
271,230810,04192024_6f_a1_r6,7,810,0.094455201705496594
274,108728,04162024_6f_a1_r1,0,728,0.051501175231653706
275,289661,04192024_6f_a1_r9,9,1661,0.06966660609897006
276,172903,04192024_6f_a1_r2,5,903,0.073432007092277526
277,164449,04192024_6f_a1_r2,1,449,0.11152633271574303
278,113048,04162024_6f_a1_r1,2,1048,0.070209766287014308
279,237716,04192024_6f_a1_r6,10,1716,0.091881166657242774
280,226353,04192024_6f_a1_r6,5,353,0.1021497791635652
281,82338,04032024_6f_a2_r5,14,338,0.086237524720678568
282,74709,04032024_6f_a2_r5,10,709,0.076254279865314301
283,170235,04192024_6f_a1_r2,4,235,0.10865611427145627
285,286261,04192024_6f_a1_r9,8,261,0.066709829265623632
287,174755,04192024_6f_a1_r2,6,755,0.098258318718715459
289,70949,04032024_6f_a2_r5,8,949,0.10807088155701412
290,68365,04032024_6f_a2_r5,7,365,0.093708430176463173
