label,count,+1,0,-1,entropy,purity
ATL028(PDM13)_L,1,1,0,0,-0.000000,1.000000
ATL028_R,1,1,0,0,-0.000000,1.000000
ATL029(PDM13)_L,1,1,0,0,-0.000000,1.000000
ATL029_R,1,1,0,0,-0.000000,1.000000
ATL030_R,1,1,0,0,-0.000000,1.000000
ATL031(PDM28)_L,1,1,0,0,-0.000000,1.000000
ATL031_R,1,1,0,0,-0.000000,1.000000
ATL032(PDM28)_L,1,1,0,0,-0.000000,1.000000
ATL032_R,1,1,0,0,-0.000000,1.000000
ATL033(PDM32)_L,1,1,0,0,-0.000000,1.000000
ATL033_R,1,1,0,0,-0.000000,1.000000
ATL034(PDM32)_L,1,1,0,0,-0.000000,1.000000
ATL034_R,1,1,0,0,-0.000000,1.000000
ATL035(PDM32)_L,1,1,0,0,-0.000000,1.000000
ATL035_R,1,1,0,0,-0.000000,1.000000
ATL036(PDM32)_L,1,1,0,0,-0.000000,1.000000
ATL036_R,1,1,0,0,-0.000000,1.000000
ATL037(PDM33)_L,1,1,0,0,-0.000000,1.000000
ATL037_R,1,1,0,0,-0.000000,1.000000
ATL038(PDM33)_L,1,1,0,0,-0.000000,1.000000
ATL038_R,1,1,0,0,-0.000000,1.000000
ATL039(PDM33)_L,1,1,0,0,-0.000000,1.000000
ATL039_R,1,1,0,0,-0.000000,1.000000
ATL040_R,1,1,0,0,-0.000000,1.000000
ATL041_R,1,1,0,0,-0.000000,1.000000
ATL042(PVL17)_L,1,1,0,0,-0.000000,1.000000
ATL042_R,1,1,0,0,-0.000000,1.000000
ATL043_R,1,1,0,0,-0.000000,1.000000
ATL044_R,1,1,0,0,-0.000000,1.000000
ATL045(PVM10)_R,1,1,0,0,-0.000000,1.000000
ATL045_L,1,1,0,0,-0.000000,1.000000
AVLP001_R,1,1,0,0,-0.000000,1.000000
AVLP002_R,2,2,0,0,-0.000000,1.000000
AVLP003_R,3,3,0,0,-0.000000,1.000000
AVLP004_R,5,5,0,0,-0.000000,1.000000
AVLP005_R,4,4,0,0,-0.000000,1.000000
AVLP006_R,2,2,0,0,-0.000000,1.000000
AVLP007_R,4,4,0,0,-0.000000,1.000000
AVLP008_R,5,5,0,0,-0.000000,1.000000
AVLP009_R,1,1,0,0,-0.000000,1.000000
AVLP010_R,5,5,0,0,-0.000000,1.000000
AVLP011_R,1,1,0,0,-0.000000,1.000000
AVLP012_R,2,2,0,0,-0.000000,1.000000
AVLP013_R,2,2,0,0,-0.000000,1.000000
AVLP014_R,1,1,0,0,-0.000000,1.000000
AVLP015_R,1,1,0,0,-0.000000,1.000000
AVLP016_R,1,1,0,0,-0.000000,1.000000
AVLP017_R,1,1,0,0,-0.000000,1.000000
AVLP018_R,1,1,0,0,-0.000000,1.000000
AVLP019_R,1,1,0,0,-0.000000,1.000000
AVLP020_R,1,1,0,0,-0.000000,1.000000
AVLP021_R,1,1,0,0,-0.000000,1.000000
AVLP022_R,1,1,0,0,-0.000000,1.000000
AVLP023_R,1,1,0,0,-0.000000,1.000000
AVLP024_R,3,3,0,0,-0.000000,1.000000
AVLP025_R,1,1,0,0,-0.000000,1.000000
AVLP026_R,7,7,0,0,-0.000000,1.000000
AVLP027_R,2,2,0,0,-0.000000,1.000000
AVLP028_R,4,4,0,0,-0.000000,1.000000
AVLP029_R,1,1,0,0,-0.000000,1.000000
AVLP030_R,1,1,0,0,-0.000000,1.000000
AVLP031_R,1,1,0,0,-0.000000,1.000000
AVLP032(ADL12)_L,1,1,0,0,-0.000000,1.000000
AVLP032_R,1,1,0,0,-0.000000,1.000000
AVLP033_R,1,1,0,0,-0.000000,1.000000
AVLP034_R,1,1,0,0,-0.000000,1.000000
AVLP035_R,1,1,0,0,-0.000000,1.000000
AVLP036_R,2,2,0,0,-0.000000,1.000000
AVLP037_R,3,3,0,0,-0.000000,1.000000
AVLP038_R,3,3,0,0,-0.000000,1.000000
AVLP039_R,3,3,0,0,-0.000000,1.000000
AVLP040_R,4,4,0,0,-0.000000,1.000000
AVLP041_R,1,1,0,0,-0.000000,1.000000
AVLP042_R,1,1,0,0,-0.000000,1.000000
AVLP043_R,2,2,0,0,-0.000000,1.000000
AVLP044_a_R,2,2,0,0,-0.000000,1.000000
AVLP044_b_R,2,2,0,0,-0.000000,1.000000
AVLP045_R,4,4,0,0,-0.000000,1.000000
AVLP046_R,2,2,0,0,-0.000000,1.000000
AVLP047_R,3,3,0,0,-0.000000,1.000000
AVLP048_R,2,2,0,0,-0.000000,1.000000
AVLP049_R,2,2,0,0,-0.000000,1.000000
AVLP050_R,3,3,0,0,-0.000000,1.000000
AVLP051_R,3,3,0,0,-0.000000,1.000000
AVLP052_R,1,1,0,0,-0.000000,1.000000
AVLP053_R,1,1,0,0,-0.000000,1.000000
AVLP054_R,1,1,0,0,-0.000000,1.000000
AVLP055_R,3,3,0,0,-0.000000,1.000000
AVLP056_R,1,1,0,0,-0.000000,1.000000
AVLP057_R,1,1,0,0,-0.000000,1.000000
AVLP058_R,2,2,0,0,-0.000000,1.000000
AVLP059_R,2,2,0,0,-0.000000,1.000000
AVLP060_R,4,4,0,0,-0.000000,1.000000
AVLP061_R,4,4,0,0,-0.000000,1.000000
